[2024-09-29 10:08:41,159] INFO [Controller id=0 epoch=5] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-09-29 10:08:41,666] INFO [Controller id=0 epoch=5] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2024-09-29 10:08:41,708] INFO [Controller id=0 epoch=5] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2024-09-29 10:08:42,605] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-09-29 10:08:42,815] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 5 as part of the become-leader transition for 51 partitions (state.change.logger)
[2024-09-29 10:08:42,935] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:42,985] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:42,993] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:42,999] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,006] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,011] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,023] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,033] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,038] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,048] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2024-09-29 10:08:43,052] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(9MrRvgwBTmOvxVWgMOfzEw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
